nomComplet,lienWikidata,distinction,date,annee
Robert Marcel Lepage,http://www.wikidata.org/entity/Q40668857,Prix René-Jodoin,2018-01-01,2018
Jean-Marie Drot,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,2013-01-17,2013
Jean-Marie Drot,http://www.wikidata.org/entity/Q908793,concours général,1946-01-01,1946
François Damiens,http://www.wikidata.org/entity/Q13452528,chevalier des Arts et des Lettres,2011-01-01,2011
Nicole Garcia,http://www.wikidata.org/entity/Q84000,César de la meilleure actrice dans un second rôle,1980-01-01,1980
Claire Simon,http://www.wikidata.org/entity/Q13452524,officier des Arts et des Lettres,2014-01-16,2014
Claire Simon,http://www.wikidata.org/entity/Q47517323,Prix SACD de la Quinzaine des réalisateurs,2008-01-01,2008
Luc Bourgeois,http://www.wikidata.org/entity/Q3404713,Prix Gémeaux de la meilleure interprétation pour une émission ou une série jeunesse,2003-01-01,2003
Sarah Harmer,http://www.wikidata.org/entity/Q6314087,prix Juno du DVD de musique de l'année,2007-01-01,2007
Sarah Harmer,http://www.wikidata.org/entity/Q6314039,prix Juno de l'album alternatif adulte de l'année,2005-01-01,2005
M. Pokora,http://www.wikidata.org/entity/Q3841600,MTV European Music Award pour le meilleur artiste français,2020-11-08,2020
Alanis Obomsawin,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2016-01-01,2016
Alanis Obomsawin,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2018-01-01,2018
Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,1994-01-01,1994
Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2016-01-01,2016
Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2013-01-01,2013
Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2018-01-01,2018
Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2010-01-01,2010
Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,1993-01-01,1993
Alanis Obomsawin,http://www.wikidata.org/entity/Q11415564,docteur honoris causa,2007-01-01,2007
Alanis Obomsawin,http://www.wikidata.org/entity/Q15278107,Compagnon de l’Ordre du Canada,2019-01-01,2019
Alanis Obomsawin,http://www.wikidata.org/entity/Q15278101,Membre de l’Ordre du Canada,1983-06-20,1983
Alanis Obomsawin,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01,2015
Alanis Obomsawin,http://www.wikidata.org/entity/Q15464509,grand officier de l'Ordre national du Québec,2016-01-01,2016
Alanis Obomsawin,http://www.wikidata.org/entity/Q50327745,commandeur de l'Ordre de Montréal,2017-01-01,2017
Alanis Obomsawin,http://www.wikidata.org/entity/Q15278116,officier de l'Ordre du Canada,2001-10-18,2001
Alanis Obomsawin,http://www.wikidata.org/entity/Q96336380,Prix Iris-Hommage,2020-01-01,2020
Alanis Obomsawin,http://www.wikidata.org/entity/Q104192722,Prix du Gouverneur général en arts visuels et en arts médiatiques,2001-01-01,2001
Alanis Obomsawin,http://www.wikidata.org/entity/Q62061080,docteur honoris causa de l'université McGill,2017-01-01,2017
Fats Waller,http://www.wikidata.org/entity/Q935843,Grammy du couronnement d'une carrière,1993-01-01,1993
Martin Duckworth,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2015-01-01,2015
Alain Corneau,http://www.wikidata.org/entity/Q734335,prix Louis-Delluc,1991-01-01,1991
Alain Corneau,http://www.wikidata.org/entity/Q645595,César du meilleur film,1992-01-01,1992
Alain Corneau,http://www.wikidata.org/entity/Q24137,César du meilleur réalisateur,1992-01-01,1992
Céline Dion,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,1999-01-01,1999
Céline Dion,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,1998-01-01,1998
Céline Dion,http://www.wikidata.org/entity/Q51527076,docteur honoris causa de l'Université Laval,2008-01-01,2008
Sylvie Desrosiers,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,2008-01-01,2008
Denise Filiatrault,http://www.wikidata.org/entity/Q15278107,Compagnon de l’Ordre du Canada,2020-01-01,2020
Denise Filiatrault,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2017-01-01,2017
Denise Filiatrault,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2000-01-01,2000
Jacques-Rémy Girerd,http://www.wikidata.org/entity/Q1377745,Prix du cinéma européen du meilleur film d'animation,2009-01-01,2009
Michel Côté,http://www.wikidata.org/entity/Q3404702,prix Gémeaux,1999-01-01,1999
Jean-Claude Labrecque,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2009-01-01,2009
Jean-Claude Labrecque,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1992-01-01,1992
Simon Galiero,http://www.wikidata.org/entity/Q2111259,Prix Iris,2008-01-01,2008
Anna McGarrigle,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2016-01-01,2016
René Malo,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2013-01-01,2013
Micheline Lanctôt,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2003-01-01,2003
Micheline Lanctôt,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2000-01-01,2000
Michel Ouellette,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1994-01-01,1994
Catherine Martin,http://www.wikidata.org/entity/Q13449461,Tony Award des meilleurs décors,2003-01-01,2003
Shy'm,http://www.wikidata.org/entity/Q3334522,NRJ Music Award de l'artiste féminine francophone de l'année,2015-01-01,2015
