nomComplet,genre,nombreDeFilms
,,70.0
A. cavalcanti,,1.0
A. dauman,,1.0
A. duchtik,,2.0
"A. e., jr. bruch",,1.0
A. edward sutherland,,1.0
A. peuvion,,0.0
A. poiré,,1.0
A. ronald rubin,,1.0
A. valio-cavaglione,,0.0
A.c. brodax,,0.0
A.c. croft,,1.0
A.j. korkidakis,,1.0
A.p. barrière,,1.0
A.r. rawlinson,,1.0
Aaron j. shuster,,1.0
Aaron kim johnston,,2.0
Aaron woodley,,1.0
Abbey jack neidik,,1.0
Abderrahmane sissako,,1.0
Abeille tard,,0.0
Abhish s. birla,,0.0
Abi feijó,,0.0
Achille manzotti,,3.0
Achille piazzi,,1.0
Ada stronias,,0.0
Ada ushpiz,,1.0
Adam boulter,,1.0
Adam brooks,,1.0
Adam budd,,1.0
Adam j. goldfine,,1.0
Adam leipzig,,1.0
Adam symansky,,12.0
Adelaida trujillo,,0.0
Adelin bouchard,,1.0
Ademir kenovic,,0.0
Adolf zukor,,1.0
Adolfo gomez,,1.0
Adolph zukor,,1.0
Adolphe osso,,1.0
Adolphe viezzi,,5.0
Adrian bate,,1.0
Adrian f. bateman,,0.0
Adriano celentano,,1.0
Adriano de micheli,,1.0
Adrien bodson,,1.0
Adry de carbuccia,,2.0
Aerlyn weissman,,1.0
Agata de santis,,0.0
Agnès danton,,1.0
Agnès delahaie,,1.0
Agnès vicariot,,1.0
Ahmed soka,,1.0
Ailsa orr,,1.0
Aimara reques,,0.0
Aimée danis,,18.0
Aisling chin-yee,,4.0
Aki kaurismäki,,2.0
Al adamson,,0.0
Al brodax,,0.0
Al clark,,1.0
Al dahlem,,1.0
Al giddings,,0.0
Al guest,,1.0
Al mamar,,1.0
Al razutis,,1.0
Al sens,,0.0
Alain baril,,0.0
Alain belhumeur,,1.0
Alain bellaïche,,1.0
Alain belmondo,,2.0
Alain bergeron,,1.0
Alain bessette,,1.0
Alain burke,,1.0
Alain campeau,,0.0
Alain chartrand,,2.0
Alain chicoine,,4.0
Alain clert,,0.0
Alain coiffier,,1.0
Alain comeau,,0.0
Alain corneau,,2.0
Alain cyr,,3.0
Alain dahan,,2.0
Alain delon,,7.0
Alain depardieu,,1.0
Alain dion,,0.0
Alain fournier,,5.0
Alain girard,,8.0
Alain guilleaume,,1.0
Alain jessua,,1.0
Alain labonté,,0.0
Alain lacroix,,1.0
Alain lavalle,,1.0
Alain michaud,,1.0
Alain paré,,1.0
Alain pelletier,,2.0
Alain pichette,,2.0
Alain plagne,,1.0
Alain poiré,,17.0
Alain pol,,0.0
Alain rocca,,3.0
Alain roger,,1.0
Alain rondeau,,1.0
Alain ross,,1.0
Alain sarde,,18.0
Alain simard,,60.0
Alain stanké,,8.0
Alain tanner,,6.0
Alain terzian,,13.0
Alain thibault,,0.0
Alain vézina,,1.0
Alain zaloum,,2.0
Alain-arthur painchaud,,1.0
Alan beattie,,1.0
Alan burke,,1.0
Alan coleman,,1.0
Alan collins,,1.0
Alan e. salke,,1.0
Alan field,,2.0
Alan handel,,3.0
Alan hayling,,0.0
Alan j. pakula,,1.0
Alan maher,,1.0
Alan moloney,,1.0
Alan richardson,,1.0
Alan simmonds,,1.0
Alan white,,1.0
Alanis obomsawin,,0.0
Albanie morin,,0.0
Albert band,,2.0
Albert barillé,,10.0
Albert falzon,,1.0
Albert fennell,,1.0
Albert i. smith,,1.0
Albert kish,,1.0
Albert klychak,,1.0
Albert koski,,1.0
Albert litchi,,1.0
Albert mailly,,0.0
Albert r. broccoli,,1.0
Albert s. ruddy,,1.0
Albert tessier,,2.0
Albert viau,,1.0
Albert zugsmith,,1.0
Alberta watson,,1.0
Alberto adami,,1.0
Alberto attili,,1.0
Alberto cavalcanti,,0.0
Alberto flaksman,,1.0
Alberto grimaldi,,2.0
Alberto luna,,0.0
Alberto manca,,3.0
Albie hecht,,1.0
Albina du boisrouvray,,3.0
Alejandro arroz,,1.0
Aleksandra kordek,,1.0
Alessandra de stefani,,1.0
Alessandro iacovoni,,1.0
Alessandro luca,,1.0
Alethea arnaquq-baril,,1.0
Alex craig,,1.0
Alex frame,,1.0
Alex gibney,,1.0
Alex gordon,,1.0
Alex gottlieb,,2.0
Alex hamilton-brown,,1.0
Alex lovy,,0.0
Alex mackenzie,,1.0
Alex malka,,1.0
Alex nalpas,,3.0
Alex raymont,,0.0
Alex robbins,,1.0
Alex roslin,,0.0
Alex sabbagh,,1.0
Alex sliman,,16.0
Alex van warmerdam,,1.0
Alexa frances shaw,,0.0
Alexander bain,,10.0
Alexander bak,,0.0
Alexander gerassimov,,0.0
Alexander kluge,,1.0
Alexander korda,,1.0
Alexander salkind,,1.0
Alexander whitelaw,,1.0
Alexandra diaz,,1.0
Alexandra gill,,1.0
Alexandra guité,,1.0
Alexandra raffé,,3.0
Alexandra toulch,,0.0
Alexandra woodward,,1.0
Alexandre arcady,,1.0
Alexandre chartrand,,1.0
Alexandre franchi,,3.0
Alexandre frigon,,1.0
Alexandre gravel,,0.0
Alexandre heylen,,1.0
Alexandre kamenka,,1.0
Alexandre kozminski,,0.0
Alexandre larose,,0.0
Alexandre leblanc,,1.0
Alexandre michaud,,1.0
Alexandre mnouchkine,,9.0
Alexandre shaw,,0.0
Alexandre soullier,,0.0
Alexandre trudeau,,0.0
Alexis de gheldere,,0.0
Alexis mercier,,1.0
Alferd c. pariser,,1.0
Alfi sinniger,,2.0
Alfons siegert,,1.0
Alfonso donati,,1.0
Alfred bittins,,1.0
Alfred de graaff,,1.0
Alfred hitchcock,,3.0
Alfred leone,,2.0
Alfred lévy,,1.0
Alfred n. sack,,2.0
Alfred weiss,,1.0
Alfredo bini,,4.0
Alfredo gagliardi,,1.0
Alfredo guarini,,1.0
Alfredo j. anzola,,1.0
Alfredo leone,,2.0
Alfredo vicens,,0.0
Alfredo zacharias,,1.0
Alhaji adegboyega arulogun,,0.0
Ali kazimi,,0.0
Alice guy-blaché,,2.0
Alice ronfard,,1.0
Alicia franco,,9.0
Aliette cremer,,1.0
Aline houdy,,0.0
Alison de vere,,1.0
Allan a. goldstein,,1.0
Allan bozo moyle,,1.0
Allan c. avrith,,1.0
Allan dwan,,3.0
Allan johnsen,,0.0
Allan king,,4.0
Allan martel,,0.0
Allan moyle,,1.0
Allan reid,,0.0
Allan scott,,1.0
Allan segal,,1.0
Allan stein,,1.0
Allan zion,,1.0
Allen klein,,1.0
Allen stark,,0.0
Allison lewis,,2.0
Allyson mitchell,,0.0
Alois brummer,,1.0
Aloysius vachet,,2.0
Alphonse balcazar,,1.0
Alvin armstrong,,0.0
Alvin fiering,,0.0
Alvino besuchari,,1.0
Alvy moore,,1.0
Amadee j. van beuren,,2.0
Amanda dawn christie,,0.0
Amaro gomez boix,,1.0
Amato excelsa,,1.0
Amato pennasilico,,1.0
Amatsia hiuni,,1.0
Amedeo bacigalupo,,0.0
Amit khanna,,1.0
Amitan manelzon,,1.0
Amos adetuyi,,1.0
Amos gitaï,,0.0
Amy belling,,1.0
Amy bodman,,0.0
Amy webb,,4.0
Amélie blanchard,,3.0
Amélie lambert bouchard,,0.0
Ana de lara,,2.0
Anand patwardhan,,0.0
Anant singh,,1.0
Anatole dauman,,9.0
Anatole de grunwald,,1.0
Anatole litvak,,2.0
Andew lazar,,0.0
Andre bendahan,,1.0
Andre singer,,1.0
Andrea cross,,0.0
Andrea marotti,,1.0
Andrea nemtin,,5.0
Andrea sadler,,0.0
Andreas mendritzki,,2.0
Andreas poulsson,,0.0
Andreea stanculeanu,,2.0
Andres vincente gomez,,1.0
Andrew adelson,,1.0
Andrew boutilier,,2.0
Andrew braunsberg,,2.0
Andrew burnett,,1.0
Andrew currie,,1.0
Andrew easterbrook,,0.0
Andrew koster,,1.0
Andrew makarewicz,,0.0
Andrew mitchell,,2.0
Andrew moxham,,1.0
Andrew noble,,3.0
Andrew noble with,,1.0
Andrew osborn,,1.0
Andrew przybytkowski,,3.0
Andrew robinson,,1.0
Andrew sugerman,,1.0
Andrew watt,,0.0
Andria spring,,1.0
Andrzej olszanski,,1.0
Andrzej walenta,,1.0
André a. bélanger,,6.0
André a. velin,,2.0
André aron,,1.0
André barro,,5.0
André belleau,,13.0
André blanchard,,1.0
André boulianne,,3.0
André béraud,,16.0
André chaput,,0.0
André daven,,1.0
André desrochers,,2.0
André djaoui,,3.0
André douillard,,0.0
André dubois,,15.0
André dupuy,,36.0
André elias,,1.0
André farwagi,,1.0
André fleury,,2.0
André forcier,,2.0
André g. brunelin,,1.0
André gagnon,,5.0
André gaudreault,,1.0
André gauthier,,1.0
André gazut,,1.0
André girard,,0.0
André gladu,,8.0
André gueret,,0.0
André génovès,,9.0
André h. des fontaines,,1.0
André hagon,,1.0
André heinrich,,0.0
André houle,,0.0
André hugon,,4.0
André labrousse,,1.0
André lamy,,4.0
André laperrière,,0.0
André lapprand,,1.0
André larin,,170.0
André laubré,,1.0
André lauzon,,7.0
André legault,,1.0
André lemaire,,1.0
André link,,19.0
André mailly,,2.0
André martin,,2.0
André michelin,,1.0
André monette,,9.0
André ménard,,9.0
André navarre,,1.0
André paquette,,6.0
André paulvé,,13.0
André payraud,,1.0
André petrowski,,0.0
André picard,,3.0
André provencher,,53.0
André pépin,,1.0
André racine,,0.0
André rouillard,,0.0
André rouleau,,12.0
André roy,,1.0
André sarrut,,1.0
André sylvain labarthe,,5.0
André szots,,1.0
André théberge,,1.0
André trudeau,,0.0
André turpin,,2.0
André valio-cavaglione,,1.0
André vanasse,,0.0
André viau,,15.0
André waksman,,0.0
André-a. lafrance,,1.0
André-line beauparlant,,1.0
Andréa parro,,1.0
Andrée lemay,,0.0
Andrée martin,,1.0
Andrée petitclerc,,0.0
Andrée poitras,,1.0
Andrée préfontaine,,0.0
Andy gould,,3.0
Andy heyward,,0.0
Andy thompson,,2.0
Andy thomson,,7.0
Andy warhol,,1.0
Angela donald,,0.0
Angela hart,,1.0
Angela laprete,,1.0
