titreOriginal,anneeSortie,planete,continent,pays,genre
Hannah And Her Sisters,1986,Terre,Amérique,États-unis,
Guilty By Suspicion,1991,Terre,Amérique,États-unis,Crime
Tacones Lejanos,1991,Terre,Europe,Espagne,
Diary Of A Hit Man,1991,Terre,Amérique,États-unis,
Stepping Out,1991,Terre,Amérique,États-unis,
Vie Des Morts,1990,Terre,Europe,France,
Only The Lonely,1991,Terre,Amérique,États-unis,
Scenes From A Mall,1991,Terre,Amérique,États-unis,
Jungle Fever,1991,Terre,Amérique,États-unis,
Alice,1990,Terre,Amérique,États-unis,
Enfants Du Paradis,1945,Terre,Europe,France,
Angel,1937,Terre,Amérique,États-unis,
Angel,1982,Terre,Europe,Irlande,
Uranus,1990,Terre,Europe,France,
Ange,1982,Terre,Europe,France,
Rien Que Des Mensonges,1991,Terre,Europe,France,
M,1931,Terre,Europe,Allemagne,
Cabinet Of Dr Ramirez,1991,Terre,Europe,Allemagne,
Million,1931,Terre,Europe,France,
Sheltering Sky,1990,Terre,Europe,Italie,
Meteoro Vima Tou Pelargou,1991,Terre,Europe,France,
Divine Enfant,1989,Terre,Europe,France,
Divine,1935,Terre,Europe,France,
Diva,1980,Terre,Europe,France,
Emitaï,1971,Terre,Afrique,Sénégal,
Empire,1964,Terre,Amérique,États-unis,Autres
Fantômas,1913,Terre,Europe,France,
Fantômas,1947,Terre,Europe,France,
Home Feeling : Struggle For A Community,1983,Terre,Amérique,Canada,Documentaire
Crossfire,1947,Terre,Amérique,États-unis,Crime
Mortal Thoughts,1991,Terre,Amérique,États-unis,
Dances With Wolves,1990,Terre,Amérique,États-unis,Aventure
Tempo Di Uccidere,1989,Terre,Europe,France,
State Of Grace,1990,Terre,Amérique,États-unis,
Paper House,1987,Terre,Amérique,États-unis,
New Jack City,1990,Terre,Amérique,États-unis,
Rookie,1990,Terre,Amérique,États-unis,
Une Époque Formidable,1991,Terre,Europe,France,
Sushi Sushi,1990,Terre,Europe,France,
Cherokee,1990,Terre,Europe,France,
Switch,1991,Terre,Amérique,États-unis,
Akira,1988,Terre,Asie,Japon,Animation
Dieu Vomit Les Tièdes,1991,Terre,Europe,France,
Terror,1963,Terre,Amérique,États-unis,
Klage Der Kaiserin,1988,Terre,Europe,Allemagne,
What About Bob?,1991,Terre,Amérique,États-unis,
Other People'S Money,1991,Terre,Amérique,États-unis,
Mayrig,1991,Terre,Europe,France,
American Tail : Fievel Goes West,1991,Terre,Amérique,États-unis,
Night On Earth,1991,Terre,Amérique,États-unis,
Rocketeer,1991,Terre,Amérique,États-unis,
Rogopag,1963,Terre,Europe,France,
Ma Vie Est Un Enfer,1991,Terre,Europe,France,
Evil Empire,1991,Terre,Amérique,États-unis,
Totale!,1991,Terre,Europe,France,
Tous Les Matins Du Monde,1991,Terre,Europe,France,
Man In The Moon,1991,Terre,Amérique,États-unis,
Hangin' With The Homeboys,1990,Terre,Amérique,États-unis,
J'Embrasse Pas,1991,Terre,Europe,France,
Clés Du Paradis,1991,Terre,Europe,France,
Danzón,1991,Terre,Amérique,Mexique,
Paris Trout,1991,Terre,Amérique,États-unis,
Paris S'Éveille,1991,Terre,Europe,France,
Tunnelkind,1989,Terre,Europe,Autriche,
Adjuster,1991,Terre,Amérique,Canada,
Thune,1991,Terre,Europe,France,
Jesuit Joe,1991,Terre,Amérique,États-unis,
Rescuers Down Under,1990,Terre,Amérique,États-unis,Animation
Harley Davidson & The Marlboro Man,1991,Terre,Amérique,États-unis,
American Flyers,1985,Terre,Amérique,États-unis,Autres
Triomphe De Babar,1990,Terre,Amérique,Canada,Animation
Pollyanna,1960,Terre,Amérique,États-unis,
Jfk,1991,Terre,Amérique,États-unis,
Lawrence Of Arabia,1962,Terre,Amérique,États-unis,
Moon Over Parador,1988,Terre,Amérique,États-unis,
Biloxi Blues,1988,Terre,Amérique,États-unis,
Petit Criminel,1990,Terre,Europe,France,
Man Who Would Be King,1975,Terre,Amérique,États-unis,
Peau D'Âne,1970,Terre,Europe,France,
Hook,1991,Terre,Amérique,États-unis,
Hurdes,1932,Terre,Europe,Espagne,Documentaire
Rain Man,1989,Terre,Amérique,États-unis,
Père Noël A Les Yeux Bleus,1966,Terre,Europe,France,
Guns Of Navarone,1961,Terre,Europe,Royaume-uni,
Taxi Blues,1989,Terre,Europe,France,
100 Rifles,1969,Terre,Amérique,États-unis,Aventure
Tarnished Angels,1957,Terre,Amérique,États-unis,
Outremer,1990,Terre,Europe,France,
Lacenaire,1990,Terre,Europe,France,
Arcandiers,1991,Terre,Europe,France,
Unde La Soare E Frig,1991,Terre,Europe,Allemagne,
Oostende,1991,Terre,Europe,France,
Van Gogh,1991,Terre,Europe,France,
Hot Shots!,1991,Terre,Amérique,États-unis,
Riff-Raff,1991,Terre,Europe,Royaume-uni,Comédie
Un Homme Et Deux Femmes,1991,Terre,Europe,France,
Iron & Silk,1988,Terre,Amérique,États-unis,
Madame Bovary,1991,Terre,Europe,France,
Point Break,1991,Terre,Amérique,États-unis,
Reise Der Hoffnung,1990,Terre,Europe,Royaume-uni,
Proof,1991,Terre,Océanie,Australie,
Malina,1991,Terre,Europe,Allemagne,
Ángeles,1989,Terre,Europe,Belgique,
High Spirits,1988,Terre,Amérique,États-unis,
Linguini Incident,1990,Terre,Amérique,États-unis,
Europa,1991,Terre,Europe,Allemagne,
Fleurs Du Mal,1991,Terre,Europe,France,
Belle Noiseuse,1991,Terre,Europe,France,
Homme Qui A Perdu Son Ombre,1991,Terre,Europe,Espagne,
Rambling Rose,1991,Terre,Amérique,États-unis,
Portaborse,1991,Terre,Europe,France,
Freud Flyttar Hemifran,1991,Terre,Europe,Danemark,
Thelma & Louise,1991,Terre,Amérique,États-unis,
V.I. Warshawski,1991,Terre,Amérique,États-unis,
Jacquot De Nantes,1991,Terre,Europe,France,
Nuit Américaine,1973,Terre,Europe,France,
Quatre Cents Coups,1959,Terre,Europe,France,
Femme D'À Côté,1981,Terre,Europe,France,
Tirez Sur Le Pianiste,1960,Terre,Europe,France,
Peau Douce,1964,Terre,Europe,France,
Jules Et Jim,1962,Terre,Europe,France,
Dernier Métro,1980,Terre,Europe,France,
Baisers Volés,1968,Terre,Europe,France,
Deux Anglaises Et Le Continent,1971,Terre,Europe,France,
Mariée Était En Noir,1968,Terre,Europe,France,
Une Belle Fille Comme Moi,1972,Terre,Europe,France,
Fahrenheit 451,1966,Terre,Europe,Royaume-uni,
Sirène Du Mississippi,1969,Terre,Europe,France,
Domicile Conjugal,1970,Terre,Europe,France,
Enfant Sauvage,1970,Terre,Europe,France,
Histoire D'Adèle H.,1975,Terre,Europe,France,
Argent De Poche,1976,Terre,Europe,France,
Amour En Fuite,1979,Terre,Europe,France,
Homme Qui Aimait Les Femmes,1977,Terre,Europe,France,
Chambre Verte,1978,Terre,Europe,France,
Vivement Dimanche!,1983,Terre,Europe,France,
Latino Bar,1990,Terre,Europe,Espagne,
White Fang,1991,Terre,Amérique,États-unis,Aventure
Amants Du Pont-Neuf,1991,Terre,Europe,France,
"Mon Père, Ce Héros",1991,Terre,Europe,France,
Bis Ans Ende Der Welt,1991,Terre,Europe,Allemagne,Sf
Fierro... L'Été Des Secrets,1989,Terre,Amérique,Argentine,
Volere Volare,1990,Terre,Europe,Italie,
Regarding Henry,1991,Terre,Amérique,États-unis,
Mohamed Bertrand-Duval,1991,Terre,Europe,France,
Terminator 2 : Judgment Day,1991,Terre,Amérique,États-unis,
Two Moon Junction,1988,Terre,Amérique,États-unis,
Prospero'S Books,1991,Terre,Europe,France,
Shattered,1990,Terre,Amérique,États-unis,
Raosaheb,1986,Terre,Asie,Inde,
Dying Young,1991,Terre,Amérique,États-unis,
Autre,1990,Terre,Europe,France,
Indian Runner,1990,Terre,Amérique,États-unis,
Fisher King,1991,Terre,Amérique,États-unis,
Sen No Rikyu,1989,Terre,Asie,Japon,
Rosenkönig,1986,Terre,Europe,Allemagne,
Blonde Venus,1932,Terre,Amérique,États-unis,
Comprarsi La Vita,1990,Terre,Europe,France,
Tender,1991,Terre,Amérique,États-unis,
Urga,1991,Terre,Europe,France,
Voleur D'Enfants,1991,Terre,Europe,Espagne,
Barton Fink,1991,Terre,Amérique,États-unis,
Backdraft,1991,Terre,Amérique,États-unis,
Nuit Et Jour,1991,Terre,Europe,Belgique,
Meeting Venus,1991,Terre,Europe,Royaume-uni,
"Ay, Carmela!",1990,Terre,Europe,Espagne,
Twenty-One,1990,Terre,Amérique,États-unis,
Laafi,1991,Terre,Afrique,Burkina faso,
Pasport,1990,Terre,Europe,France,
Pretty Woman,1990,Terre,Amérique,États-unis,
Return To The Blue Lagoon,1991,Terre,Amérique,États-unis,
Marrying Man,1991,Terre,Amérique,États-unis,
Mississippi Masala,1991,Terre,Amérique,États-unis,
J'Entends Plus La Guitare,1991,Terre,Europe,France,
Krays,1990,Terre,Europe,Royaume-uni,
Rage In Harlem,1991,Terre,Europe,Royaume-uni,
Miami Blues,1989,Terre,Amérique,États-unis,
Processo Do Rei,1990,Terre,Europe,France,
Navy Seals,1990,Terre,Amérique,États-unis,
Vieille Qui Marchait Dans La Mer,1991,Terre,Europe,France,
Double Impact,1991,Terre,Amérique,États-unis,
Fx 2 : The Deadly Art Of Illusion,1991,Terre,Amérique,États-unis,
Oscar,1990,Terre,Amérique,États-unis,
Family Plot,1976,Terre,Amérique,États-unis,
Dial M For Murder,1954,Terre,Amérique,États-unis,
Jésus De Montréal,1989,Terre,Europe,France,
Marked For Death,1990,Terre,Amérique,États-unis,
Fools Of Fortune,1990,Terre,Europe,Royaume-uni,
Robin Hood : Prince Of Thieves,1991,Terre,Amérique,États-unis,
Valse Des Pigeons,1990,Terre,Europe,France,
Chicago Joe And The Showgirl,1990,Terre,Europe,Royaume-uni,
Life Stinks,1991,Terre,Amérique,États-unis,
Boom Boom,1990,Terre,Europe,Belgique,
Carne,1991,Terre,Europe,Italie,
Atto Di Dolore,1989,Terre,Europe,Italie,
Heathers,1988,Terre,Amérique,États-unis,
King Ralph,1991,Terre,Amérique,États-unis,
